objectid,ruta,linea,itinerario,sentido,sistema,cuenca,municipio,id_ruta,st_lengthshape
1,C3-001,C3-001 Santa Gema - Aguacatala,C3-001 Aguacatala - Santa Gema,2,A,3,05001,1,6635.68042092316
2,C3-001,C3-001 Santa Gema - Aguacatala,C3-001 Santa Gema - Aguacatala,1,A,3,05001,1,7034.83598477994
3,C3-002,C3-002 Aguacatala - Bulerias,C3-002 Aguacatala,1,A,3,05001,3,7152.62430268044
4,C3-002,C3-002 Aguacatala - Bulerias,C3-002 Bulerías Belén Rosales,2,A,3,05001,3,7479.42999682152
5,C3-005,C3-005 Belén Aguas Frías - UDM,C3-005 Aguas Frías,2,A,3,05001,11,5096.34834500639
6,C3-005,C3-005 Belén Aguas Frías - UDM,C3-005 Universidad de Medellín,1,A,3,05001,11,5211.32783819905
8,C3-006,C3-006 Violetas - UDM - Villa Café,C3-006 Las Violetas Morro - UDM - Villa Café,3,A,3,05001,12,4276.86420314863
9,C3-007,C3-007 La Palma - Loma de los Bernal,C3-007 La Palma - Loma de Los Bernal,2,A,3,05001,13,3509.92264409194
12,C3-007,C3-007 La Palma - Loma de los Bernal,C3-007 Loma de Los Bernal - La Palma,1,A,3,05001,13,4382.30524611022
13,C3-008,C3-008 La Serranía - Rosales,C3-008 La Serranía - Rosales,1,A,3,05001,15,3960.92302631224
14,C3-008,C3-008 La Serranía - Rosales,C3-008 Rosales - La Serranía,2,A,3,05001,15,4248.12217938513
15,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,1,A,6,05001,16,2420.66990939225
16,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,2,A,6,05001,16,3120.29873610469
17,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Punto Cero,1,A,6,05001,17,6951.4272015711
18,C6-002,C6-002 Versalles - Estación Hospital - Punto Cero,C6-002 Versalles,2,A,6,05001,17,7142.92048617161
20,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Campo Valdés,2,A,6,05001,19,4385.80975172248
22,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,1,A,6,05001,19,3403.56038125879
