Año,Fecha (dd/mm/aaaa),TRM,Día del mes,Mes,Id Mes
2023,2023-12-31,"3822,05",31,Diciembre,12
2023,2023-12-30,"3822,05",30,Diciembre,12
2023,2023-12-29,"3822,05",29,Diciembre,12
2023,2023-12-28,"3844,81",28,Diciembre,12
2023,2023-12-27,"3871,45",27,Diciembre,12
2023,2023-12-26,"3915,43",26,Diciembre,12
2023,2023-12-25,"3915,43",25,Diciembre,12
2023,2023-12-24,"3915,43",24,Diciembre,12
2023,2023-12-23,"3915,43",23,Diciembre,12
2023,2023-12-22,"3943,03",22,Diciembre,12
2023,2023-12-21,"3948,54",21,Diciembre,12
2023,2023-12-20,"3925,77",20,Diciembre,12
2023,2023-12-19,"3932,59",19,Diciembre,12
2023,2023-12-18,"3956,76",18,Diciembre,12
2023,2023-12-17,"3956,76",17,Diciembre,12
2023,2023-12-16,"3956,76",16,Diciembre,12
2023,2023-12-15,"3955,88",15,Diciembre,12
2023,2023-12-14,"3999,43",14,Diciembre,12
2023,2023-12-13,"3990,88",13,Diciembre,12
2023,2023-12-12,"3982,5",12,Diciembre,12
2023,2023-12-11,"3998,51",11,Diciembre,12
2023,2023-12-10,"3998,51",10,Diciembre,12
2023,2023-12-09,"3998,51",9,Diciembre,12
2023,2023-12-08,"3998,51",8,Diciembre,12
2023,2023-12-07,"3989,55",7,Diciembre,12
2023,2023-12-06,"4023,21",6,Diciembre,12
2023,2023-12-05,"3999,91",5,Diciembre,12
2023,2023-12-04,"3983,15",4,Diciembre,12
2023,2023-12-03,"3983,15",3,Diciembre,12
2023,2023-12-02,"3983,15",2,Diciembre,12
2023,2023-12-01,"4045,22",1,Diciembre,12
2023,2023-11-30,"3980,67",30,Noviembre,11
2023,2023-11-29,"3957,77",29,Noviembre,11
2023,2023-11-28,"3989,89",28,Noviembre,11
2023,2023-11-27,"4044,51",27,Noviembre,11
2023,2023-11-26,"4044,51",26,Noviembre,11
2023,2023-11-25,"4044,51",25,Noviembre,11
2023,2023-11-24,"4092,33",24,Noviembre,11
2023,2023-11-23,"4092,33",23,Noviembre,11
2023,2023-11-22,"4060,15",22,Noviembre,11
2023,2023-11-21,"4033,83",21,Noviembre,11
2023,2023-11-20,"4116,59",20,Noviembre,11
2023,2023-11-19,"4116,59",19,Noviembre,11
2023,2023-11-18,"4116,59",18,Noviembre,11
2023,2023-11-17,"4077,44",17,Noviembre,11
2023,2023-11-16,"3976,84",16,Noviembre,11
2023,2023-11-15,"3963,57",15,Noviembre,11
2023,2023-11-14,"4037,19",14,Noviembre,11
2023,2023-11-13,"4037,19",13,Noviembre,11
2023,2023-11-12,"4037,19",12,Noviembre,11
2023,2023-11-11,"4037,19",11,Noviembre,11
2023,2023-11-10,"4056,94",10,Noviembre,11
2023,2023-11-09,"4065,79",9,Noviembre,11
2023,2023-11-08,"4005,06",8,Noviembre,11
2023,2023-11-07,"3975,09",7,Noviembre,11
2023,2023-11-06,"3975,09",6,Noviembre,11
2023,2023-11-05,"3975,09",5,Noviembre,11
2023,2023-11-04,"3975,09",4,Noviembre,11
2023,2023-11-03,"4047,11",3,Noviembre,11
2023,2023-11-02,"4117,71",2,Noviembre,11
2023,2023-11-01,"4114,29",1,Noviembre,11
2023,2023-10-31,"4060,83",31,Octubre,10
2023,2023-10-30,"4120,62",30,Octubre,10
2023,2023-10-29,"4120,62",29,Octubre,10
